ONSConstID,bfb_Seat,bfb_Con,bfb_Lab,bfb_LibDem,bfb_Green,bfb_BXP,bfb_Plaid,bfb_Other,bfb_Reco
E14000585,Bournemouth West,0.365313653,0.21402214,0.164206642,0.07195572,0.161439114,NA,0.023062731,Lab
E14000586,Bracknell,0.425799087,0.170091324,0.194063927,0.054794521,0.126712329,NA,0.028538813,Lib Dem
E14000587,Bradford East,0.211583924,0.457446809,0.094562648,0.055555556,0.151300236,NA,0.029550827,Lab
E14000588,Bradford South,0.337650324,0.325624422,0.093432007,0.046253469,0.173913044,NA,0.023126735,Lab
E14000589,Bradford West,0.182359952,0.449344458,0.133492253,0.070321812,0.134684148,NA,0.029797378,Lab
E14000590,Braintree,0.479564033,0.156675749,0.141689373,0.053133515,0.134877384,NA,0.034059946,Lab
E14000591,Brent Central,0.173024523,0.479564033,0.171662125,0.054495913,0.08719346,NA,0.034059946,Lab
E14000592,Brent North,0.29025641,0.377435897,0.167179487,0.057435897,0.082051282,NA,0.025641026,Lab
E14000593,Brentford and Isleworth,0.308553158,0.32853717,0.208633094,0.04636291,0.087929656,NA,0.019984013,Lab
E14000594,Brentwood and Ongar,0.41315519,0.119218911,0.190133607,0.070914697,0.180883864,NA,0.025693731,Lib Dem
E14000595,Bridgwater and West Somerset,0.449258837,0.158494869,0.184720639,0.043329533,0.135689852,NA,0.028506271,Lib Dem
E14000596,Brigg and Goole,0.420889349,0.202688728,0.123061013,0.044467425,0.183040331,NA,0.025853154,Lab
E14000597,"Brighton, Kemptown",0.282984531,0.343949045,0.162875341,0.078252957,0.109190173,NA,0.022747953,Lab
E14000598,"Brighton, Pavilion",0.158730159,0.189342404,0.096371882,0.464852608,0.062358277,NA,0.028344671,Green
E14000599,Bristol East,0.28440367,0.369724771,0.177981651,0.067889908,0.07706422,NA,0.02293578,Lab
E14000600,Bristol North West,0.305666401,0.255387071,0.259377494,0.064644852,0.094972067,NA,0.019952115,Lab
E14000601,Bristol South,0.258986175,0.348387097,0.1640553,0.092165899,0.113364055,NA,0.023041475,Lab
E14000602,Bristol West,0.155109489,0.375912409,0.233576642,0.173357664,0.039233577,NA,0.022810219,Lab
E14000603,Broadland,0.431171786,0.160409556,0.216154721,0.053469852,0.110352674,NA,0.028441411,Lib Dem
E14000604,Bromley and Chislehurst,0.420512821,0.192820513,0.18974359,0.053333333,0.117948718,NA,0.025641026,Lab
E14000605,Bromsgrove,0.451136364,0.165909091,0.193181818,0.060227273,0.101136364,NA,0.028409091,Lib Dem
E14000606,Broxbourne,0.448512586,0.172768879,0.137299771,0.04805492,0.164759725,NA,0.028604119,Lab
E14000608,Buckingham,0.487465181,0.029247911,0.160167131,0.14902507,0.139275766,NA,0.034818942,Green
E14000609,Burnley,0.323529412,0.287581699,0.155228758,0.043300654,0.169934641,NA,0.020424837,Lab
E14000610,Burton,0.462857143,0.214857143,0.114285714,0.054857143,0.124571429,NA,0.028571429,Lab
E14000611,Bury North,0.344890511,0.327554745,0.126824818,0.057481752,0.120437956,NA,0.022810219,Lab
E14000612,Bury South,0.347349177,0.297074954,0.170018282,0.047531993,0.115173675,NA,0.02285192,Lab
E14000613,Bury St Edmunds,0.397540984,0.143442623,0.214139344,0.089139344,0.130122951,NA,0.025614754,Lib Dem
E14000614,Calder Valley,0.381592554,0.263702172,0.146845915,0.058945191,0.123061013,NA,0.025853154,Lab
E14000615,Camberwell and Peckham,0.154462243,0.465675057,0.223112128,0.068649886,0.059496568,NA,0.028604119,Lab
E14000616,Camborne and Redruth,0.344292237,0.247488585,0.189041096,0.04109589,0.155251142,NA,0.02283105,Lab
E14000617,Cambridge,0.157084189,0.299794661,0.383983573,0.073921971,0.059548255,NA,0.025667351,LibLab
E14000618,Cannock Chase,0.443807339,0.209862385,0.106651376,0.059633028,0.151376147,NA,0.028669725,Lab
E14000619,Canterbury,0.316626889,0.257756563,0.215592681,0.085123309,0.105011933,NA,0.019888624,Lab
E14000620,Carlisle,0.388659794,0.273195876,0.127835052,0.041237113,0.143298969,NA,0.025773196,Lab
E14000621,Carshalton and Wallington,0.316513762,0.117431193,0.377981651,0.049541284,0.11559633,NA,0.02293578,Lib Dem
