pcon,lab_pc_17,cons_pc_17,lib_pc_17,refno,Constituency,Estimated Leave proportion,Known result,han_est_leave,Notes,Region,Errors,X10,index_mp,party,name_mp,brexit_vote,rebel,payroll,cabinet,lab_min_con_17,bfb_Seat,bfb_Con,bfb_Lab,bfb_LibDem,bfb_Green,bfb_BXP,bfb_Plaid,bfb_Other,bfb_Reco
E14000585,0.3617633181297324,0.5350169636236997,0.06580987260430944,83,Bournemouth West,0.5789926072,NA,0.5789926072,NA,South West,NA,NA,74,Con,Conor Burns,Against,Yes,N,N,-0.17325364549396727,Bournemouth West,0.365313653,0.21402214,0.164206642,0.07195572,0.161439114,NA,0.023062731,Lab
E14000586,0.3017605381807772,0.5883131754097187,0.07489443927574609,84,Bracknell,0.5325104196,NA,0.5325104196,NA,South East,NA,NA,357,Con,Dr Phillip Lee,Against,Yes,N,N,-0.28655263722894153,Bracknell,0.425799087,0.170091324,0.194063927,0.054794521,0.126712329,NA,0.028538813,Lib Dem
E14000587,0.6538731313839814,0.20365174696418395,0.018477927315768708,85,Bradford East,0.5785856995,0.5515782934,0.5515782934,http://www.bbc.co.uk/news/uk-politics-38762034,Yorkshire and The Humber,-0.02700740608,NA,307,Lab,Imran Hussain,Against,No,N,N,0.4502213844197974,Bradford East,0.211583924,0.457446809,0.094562648,0.055555556,0.151300236,NA,0.029550827000000002,Lab
E14000588,0.544812297498112,0.3815927306389924,0.012570342761090404,86,Bradford South,0.6267799737,0.6356121775,0.6356121775,http://www.bbc.co.uk/news/uk-politics-38762034,Yorkshire and The Humber,0.008832203775,NA,127,Lab,Judith Cummins,Against,No,N,N,0.1632195668591196,Bradford South,0.337650324,0.325624422,0.093432007,0.046253469,0.173913044,NA,0.023126735,Lab
E14000589,0.6467228958003866,0.16565629942013707,0.015638727815849587,87,Bradford West,0.4939509198,0.4674085444,0.4674085444,http://www.bbc.co.uk/news/uk-politics-38762034,Yorkshire and The Humber,-0.0265423754,NA,530,Lab,Naz Shah,Against,No,N,N,0.4810665963802495,Bradford West,0.182359952,0.449344458,0.133492253,0.070321812,0.134684148,NA,0.029797378,Lab
E14000590,0.27617245728700834,0.6282345296793181,0.043018766960975424,88,Braintree,0.614274471,NA,0.614274471,NA,East of England,NA,NA,103,Con,James Cleverly,For,No,N,N,-0.3520620723923098,Braintree,0.479564033,0.156675749,0.141689373,0.053133515,0.134877384,NA,0.034059946,Lab
E14000591,0.7306103717301514,0.19525393911580236,0.04816811993269084,90,Brent Central,0.4292455493,NA,0.4292455493,NA,London,NA,NA,76,Lab,Dawn Butler,Against,No,N,N,0.5353564326143491,Brent Central,0.173024523,0.479564033,0.171662125,0.054495913,0.08719346,NA,0.034059946,Lab
E14000592,0.6288710934731769,0.32660690241655443,0.028594713344199562,91,Brent North,0.4309235831,NA,0.4309235831,NA,London,NA,NA,211,Lab,Barry Gardiner,Against,No,N,N,0.3022641910566225,Brent North,0.29025641,0.377435897,0.167179487,0.057435897,0.082051282,NA,0.025641026,Lab
E14000593,0.5738207661977316,0.3761540833049376,0.0500251504973308,92,Brentford and Isleworth,0.3950853268,0.4330890315,0.4330890315,http://www.bbc.co.uk/news/uk-politics-38762034,London,0.03800370466,NA,79,Lab,Ruth Cadbury,Against,No,N,N,0.197666682892794,Brentford and Isleworth,0.308553158,0.32853717,0.208633094,0.04636291,0.087929656,NA,0.019984013,Lab
E14000594,0.2042903042903043,0.657928557928558,0.08365148365148366,93,Brentwood and Ongar,0.608936703,NA,0.608936703,NA,East of England,NA,NA,72,Con,Alex Burghart,For,No,N,N,-0.4536382536382537,Brentwood and Ongar,0.41315519,0.119218911,0.190133607,0.070914697,0.180883864,NA,0.025693731,Lib Dem
E14000595,0.28597662484768394,0.5511009662416119,0.10867214718451268,95,Bridgwater and West Somerset,0.6219046456,NA,0.6219046456,NA,South West,NA,NA,369,Con,Mr Ian Liddell-Grainger,Against,Yes,N,N,-0.26512434139392793,Bridgwater and West Somerset,0.449258837,0.158494869,0.184720639,0.043329533,0.135689852,NA,0.028506271,Lib Dem
E14000596,0.32971569345495705,0.604101471469472,0.018554275695230486,96,Brigg and Goole,0.6620507891,NA,0.6620507891,NA,Yorkshire and The Humber,NA,NA,478,Con,Andrew Percy,For,No,N,N,-0.27438577801451497,Brigg and Goole,0.420889349,0.202688728,0.123061013,0.044467425,0.183040331,NA,0.025853154,Lab
E14000597,0.5833113174954783,0.3827707439998374,0.02960960838905034,97,"Brighton, Kemptown",0.4342993775,NA,0.4342993775,NA,South East,NA,NA,522,Lab,Lloyd Russell-Moyle,Against,No,N,N,0.20054057349564086,"Brighton, Kemptown",0.282984531,0.343949045,0.162875341,0.078252957,0.109190173,NA,0.022747953,Lab
E14000599,0.60723636292053,0.3435697553101439,0.027343057934211303,99,Bristol East,0.4881657821,0.4679527183,0.4679527183,http://www.bbc.co.uk/news/uk-politics-38762034,South West,-0.02021306383,NA,405,Lab,Kerry McCarthy,Against,No,N,N,0.2636666076103861,Bristol East,0.28440367,0.369724771,0.177981651,0.067889908,0.07706422,NA,0.02293578,Lab
E14000600,0.5065069506063294,0.4184967465246968,0.05201863354037267,100,Bristol North West,0.4071929033,0.3885281199,0.3885281199,http://www.bbc.co.uk/news/uk-politics-38762034,South West,-0.01866478345,NA,323,Lab,Darren Jones,Against,No,N,N,0.08801020408163263,Bristol North West,0.305666401,0.255387071,0.259377494,0.064644852,0.094972067,NA,0.019952115,Lab
E14000601,0.6006766944945019,0.30670074657055646,0.03348534441543158,101,Bristol South,0.4971442263,0.4795283789,0.4795283789,http://www.bbc.co.uk/news/uk-politics-38762034,South West,-0.01761584745,NA,558,Lab,Karin Smyth,Against,No,N,N,0.29397594792394544,Bristol South,0.258986175,0.348387097,0.1640553,0.092165899,0.113364055,NA,0.023041475,Lab
E14000602,0.6593257736565746,0.1379315160317283,0.07263154954753659,102,Bristol West,0.2040519927,0.2071150843,0.2071150843,http://www.bbc.co.uk/news/uk-politics-38762034,South West,0.003063091605,NA,144,Lab,Thangam Debbonaire,Against,No,N,N,0.5213942576248464,Bristol West,0.155109489,0.375912409,0.233576642,0.173357664,0.039233577,NA,0.022810219,Lab
E14000603,0.29640349466688104,0.5789783995283272,0.07948759178860482,103,Broadland,0.5406077153,NA,0.5406077153,NA,East of England,NA,NA,542,Con,Mr Keith Simpson,For,No,N,N,-0.28257490486144615,Broadland,0.431171786,0.160409556,0.216154721,0.053469852,0.110352674,NA,0.028441411,Lib Dem
E14000604,0.333997685482834,0.5395182375380395,0.0722000771505722,104,Bromley and Chislehurst,0.4912023455,0.4982886934,0.4982886934,http://www.bbc.co.uk/news/uk-politics-38762034,London,0.007086347909,NA,452,Con,Robert Neill,For,No,N,N,-0.20552055205520553,Bromley and Chislehurst,0.420512821,0.192820513,0.18974359,0.053333333,0.117948718,NA,0.025641026,Lab
E14000605,0.3131014063656551,0.619781643227239,0.046039970392301996,105,Bromsgrove,0.5536512794,0.5536512794,0.5536512794,NA,West Midlands,0,NA,312,Con,Sajid Javid,For,No,Y,Y,-0.30668023686158397,Bromsgrove,0.451136364,0.165909091,0.193181818,0.060227273,0.101136364,NA,0.028409091,Lib Dem
E14000606,0.28899652521849006,0.6215647046435716,0.031188796462040643,106,Broxbourne,0.6581793055,NA,0.6581793055,NA,East of England,NA,NA,617,Con,Mr Charles Walker,For,No,N,N,-0.33256817942508154,Broxbourne,0.448512586,0.172768879,0.137299771,0.04805492,0.164759725,NA,0.028604119,Lab
E14000609,0.4674112683047903,0.3097294614048151,0.1500620501365103,109,Burnley,0.6661279897,0.6661279897,0.6661279897,NA,North West,0,NA,110,Lab,Julie Cooper,Against,No,N,N,0.15768180689997519,Burnley,0.323529412,0.287581699,0.155228758,0.043300654,0.169934641,NA,0.020424837,Lab
E14000610,0.37845364749253674,0.5797519584861053,0.02528500731301717,110,Burton,0.6462413639,NA,0.6462413639,NA,West Midlands,NA,NA,247,Con,Andrew Griffiths,For,No,N,N,-0.20129831099356854,Burton,0.462857143,0.214857143,0.114285714,0.054857143,0.124571429,NA,0.028571429,Lab
E14000611,0.5361459616307955,0.4448155647871741,0.019038473582030355,111,Bury North,0.536593443,NA,0.536593443,NA,North West,NA,NA,205,Lab,James Frith,Against,No,N,N,0.09133039684362143,Bury North,0.344890511,0.327554745,0.126824818,0.057481752,0.120437956,NA,0.022810219,Lab
E14000612,0.5327515199058639,0.415767797607374,0.020886448323200628,112,Bury South,0.5452602877,NA,0.5452602877,NA,North West,NA,NA,368,Ind,Mr Ivan Lewis,Against,––,N,N,0.11698372229848991,Bury South,0.347349177,0.297074954,0.170018282,0.047531993,0.115173675,NA,0.02285192,Lab
